ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Sources
Akkadian,Akkadian,akka1240,Akkadian,akk,Eurasia,33.1,44.1,Afro-Asiatic,Rabin1975;Kitchen2009
Amharic,Amharic,amha1245,Amharic,amh,Africa,11.708182,39.543456,Afro-Asiatic,Bender1971;Kitchen2009
Aramaic,Aramaic,olda1245,Old Aramaic-Sam'alian,oar,Eurasia,32.84,37.0,Afro-Asiatic,Rabin1975;Kitchen2009
Argobba,Argobba,argo1244,Argobba,agj,Africa,10.6596,39.756,Afro-Asiatic,Bender1971;Kitchen2009
Chaha,Chaha,chah1248,Chaha,,Africa,,,Afro-Asiatic,Bender1971;Kitchen2009
Gafat,Gafat,gafa1240,Gafat,gft,Africa,11.5764,39.5605,Afro-Asiatic,Bender1971;Kitchen2009
Geez,Gɛ'ɛz,geez1241,Geez,gez,Africa,10.1342,40.6821,Afro-Asiatic,Bender1971;Kitchen2009
Geto,Geto,gyet1241,Gyeta,,Africa,,,Afro-Asiatic,Bender1971;Kitchen2009
Gibbali,Gibbali,sheh1240,Jibbali,shv,Eurasia,17.29154,53.99526,Afro-Asiatic,Kitchen2009;Johnstone1981
Harari,Harari,hara1271,Harari,har,Africa,9.30485,42.1332,Afro-Asiatic,Bender1971;Kitchen2009
Harsusi,Harsusi,hars1241,Harsusi,hss,Eurasia,19.6511,56.1562,Afro-Asiatic,Kitchen2009;Johnstone1977
Hebrew,Hebrew,hebr1245,Modern Hebrew,heb,Eurasia,31.1056,35.0179,Afro-Asiatic,Rabin1975;Kitchen2009
Innemor,Innemor,inor1238,Inoric,ior,Africa,7.94883,37.7968,Afro-Asiatic,Bender1971;Kitchen2009
Mehri,Mɛhri,mehr1241,Mehri,gdq,Eurasia,16.793,52.473,Afro-Asiatic,Kitchen2009;Johnstone2006
Mesmes,Mesmes,mesm1243,Mesmes,mys,Africa,7.53825,37.5742,Afro-Asiatic,Bender1971;Kitchen2009
Mesqan,Mesqan,mesq1240,Mesqan,mvz,Africa,8.10617,38.3386,Afro-Asiatic,Bender1971;Kitchen2009
MoroccanArabic,Moroccan Arabic,moro1292,Moroccan Arabic,ary,Africa,32.5,-7.5,Afro-Asiatic,Sobelman1963;Kitchen2009
OgadenArabic,Ogadɛn Arabic,ogad1238,Ogaden,,Africa,,,Afro-Asiatic,Bender1971;Kitchen2009
Soddo,Soddo,sodd1242,Soddo,,Africa,,,Afro-Asiatic,Bender1971;Kitchen2009
Soqotri,Soqotri,soqo1240,Soqotri,sqt,Africa,12.4892,53.9168,Afro-Asiatic,Leslau1938;Kitchen2009
Tigre,Tigrɛ,tigr1270,Tigre,tig,Africa,17.3494,38.2233,Afro-Asiatic,Bender1971;Kitchen2009
Tigrinya,Tigrinya,tigr1271,Tigrinya,tir,Africa,15.3359,38.9266,Afro-Asiatic,Bender1971;Kitchen2009
Ugaritic,Ugaritic,ugar1238,Ugaritic,uga,Eurasia,35.6,35.78,Afro-Asiatic,Rabin1975;Kitchen2009
Walani,ʷalani,wola1253,Wolane,wle,Africa,8.23,38.14,Afro-Asiatic,Bender1971;Kitchen2009
Zway,Zway,zayy1238,Zay,zwa,Africa,8.01148,38.8258,Afro-Asiatic,Bender1971;Kitchen2009
